lastName,firstName,country,univ
Fangmann,Jannik,Germany,University of Applied Sciences Emden/Leer
Looks,Hanna,Germany,University of Applied Sciences Emden/Leer
Markowski,Pawel,Poland,Polish-Japanese Academy of Information Technology

